Code de la région;Libellé de la région;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimes;% Exp/Ins;% Exp/Vot;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp;Nuance Liste;Libellé Abrégé Liste;Voix;% Voix/Ins;% Voix/Exp
42;ALSACE;1128532;516343;45,75;612189;54,25;33538;2,97;5,48;578651;51,27;94,52;LXG;LISTE D'EXTRÊME-GAUCHE;31798;2,82;5,5;LMA;LISTE DE LA MAJORITÉ;95407;8,45;16,49;LEC;LISTE ÉCOLOGISTE;35895;3,18;6,2;LRG;LISTE RÉGIONALISTE;40849;3,62;7,06;LDV;"LISTE ""DIVERS""";39309;3,48;6,79;LDR;LISTE DE DROITE;116448;10,32;20,12;LDF;LISTE DROITE-FRONT NATIONAL;99875;8,85;17,26;LFN;LISTE DU FRONT NATIONAL;119070;10,55;20,58;;;;;;;;;;;;;;;;;;;;
72;AQUITAINE;2051911;799347;38,96;1252564;61,04;63613;3,1;5,08;1188951;57,94;94,92;LXG;LISTE D'EXTRÊME-GAUCHE;27291;1,33;2,3;LPC;LISTE DU PARTI COMMUNISTE;74238;3,62;6,24;LPS;LISTE DU PARTI SOCIALISTE;260491;12,7;21,91;LDG;LISTE DIVERS GAUCHE;17028;0,83;1,43;LMA;LISTE DE LA MAJORITÉ;112992;5,51;9,5;LEC;LISTE ÉCOLOGISTE;51019;2,49;4,29;LRG;LISTE RÉGIONALISTE;20892;1,02;1,76;LDV;"LISTE ""DIVERS""";124580;6,07;10,48;LDR;LISTE DE DROITE;341739;16,65;28,74;LDF;LISTE DROITE-FRONT NATIONAL;31140;1,52;2,62;LFN;LISTE DU FRONT NATIONAL;127541;6,22;10,73;;;;;
83;AUVERGNE;964368;359888;37,32;604480;62,68;33816;3,51;5,59;570664;59,17;94,41;LXG;LISTE D'EXTRÊME-GAUCHE;14850;1,54;2,6;LPS;LISTE DU PARTI SOCIALISTE;23573;2,44;4,13;LDG;LISTE DIVERS GAUCHE;14779;1,53;2,59;LMA;LISTE DE LA MAJORITÉ;184785;19,16;32,38;LEC;LISTE ÉCOLOGISTE;26068;2,7;4,57;LDV;"LISTE ""DIVERS""";18164;1,88;3,18;LDR;LISTE DE DROITE;228270;23,67;40;LDF;LISTE DROITE-FRONT NATIONAL;5581;0,58;0,98;LFN;LISTE DU FRONT NATIONAL;54594;5,66;9,57;;;;;;;;;;;;;;;
26;BOURGOGNE;1130948;486176;42,99;644772;57,01;30409;2,69;4,72;614363;54,32;95,28;LXG;LISTE D'EXTRÊME-GAUCHE;27130;2,4;4,42;LDG;LISTE DIVERS GAUCHE;10319;0,91;1,68;LMA;LISTE DE LA MAJORITÉ;204946;18,12;33,36;LEC;LISTE ÉCOLOGISTE;29814;2,64;4,85;LDV;"LISTE ""DIVERS""";33796;2,99;5,5;LDR;LISTE DE DROITE;192024;16,98;31,26;LDF;LISTE DROITE-FRONT NATIONAL;25499;2,25;4,15;LFN;LISTE DU FRONT NATIONAL;90835;8,03;14,79;;;;;;;;;;;;;;;;;;;;
53;BRETAGNE;2147018;875254;40,77;1271764;59,23;54157;2,52;4,26;1217607;56,71;95,74;LXG;LISTE D'EXTRÊME-GAUCHE;89108;4,15;7,32;LMA;LISTE DE LA MAJORITÉ;415789;19,37;34,15;LEC;LISTE ÉCOLOGISTE;54999;2,56;4,52;LRG;LISTE RÉGIONALISTE;47532;2,21;3,9;LDV;"LISTE ""DIVERS""";38077;1,77;3,13;LDR;LISTE DE DROITE;420585;19,59;34,54;LDF;LISTE DROITE-FRONT NATIONAL;50778;2,37;4,17;LFN;LISTE DU FRONT NATIONAL;100739;4,69;8,27;;;;;;;;;;;;;;;;;;;;
21;CHAMPAGNE-ARDENNE;900432;394790;43,84;505642;56,16;22534;2,5;4,46;483108;53,65;95,54;LXG;LISTE D'EXTRÊME-GAUCHE;25866;2,87;5,35;LDG;LISTE DIVERS GAUCHE;3625;0,4;0,75;LMA;LISTE DE LA MAJORITÉ;142050;15,78;29,4;LEC;LISTE ÉCOLOGISTE;15823;1,76;3,28;LDV;"LISTE ""DIVERS""";23129;2,57;4,79;LDR;LISTE DE DROITE;147027;16,33;30,43;LDF;LISTE DROITE-FRONT NATIONAL;37917;4,21;7,85;LFN;LISTE DU FRONT NATIONAL;87671;9,74;18,15;;;;;;;;;;;;;;;;;;;;
43;FRANCHE-COMTE;764459;287979;37,67;476480;62,33;27848;3,64;5,84;448632;58,69;94,16;LXG;LISTE D'EXTRÊME-GAUCHE;26489;3,47;5,9;LDG;LISTE DIVERS GAUCHE;14785;1,93;3,3;LMA;LISTE DE LA MAJORITÉ;137657;18,01;30,68;LEC;LISTE ÉCOLOGISTE;17020;2,23;3,79;LRG;LISTE RÉGIONALISTE;7772;1,02;1,73;LDV;"LISTE ""DIVERS""";9732;1,27;2,17;LDR;LISTE DE DROITE;138996;18,18;30,98;LDF;LISTE DROITE-FRONT NATIONAL;19038;2,49;4,24;LFN;LISTE DU FRONT NATIONAL;77143;10,09;17,2;;;;;;;;;;;;;;;
91;LANGUEDOC-ROUSSILLON;1577817;592964;37,58;984853;62,42;41397;2,62;4,2;943456;59,8;95,8;LXG;LISTE D'EXTRÊME-GAUCHE;14120;0,89;1,5;LPC;LISTE DU PARTI COMMUNISTE;74958;4,75;7,95;LPS;LISTE DU PARTI SOCIALISTE;161697;10,25;17,14;LDG;LISTE DIVERS GAUCHE;15023;0,95;1,59;LMA;LISTE DE LA MAJORITÉ;115577;7,33;12,25;LEC;LISTE ÉCOLOGISTE;47090;2,98;4,99;LRG;LISTE RÉGIONALISTE;4027;0,26;0,43;LDV;"LISTE ""DIVERS""";52271;3,31;5,54;LDR;LISTE DE DROITE;228482;14,48;24,22;LDF;LISTE DROITE-FRONT NATIONAL;61043;3,87;6,47;LFN;LISTE DU FRONT NATIONAL;164633;10,43;17,45;LXD;LISTE D'EXTRÊME-DROITE;4535;0,29;0,48
74;LIMOUSIN;549533;190120;34,6;359413;65,4;21404;3,89;5,96;338009;61,51;94,04;LXG;LISTE D'EXTRÊME-GAUCHE;14625;2,66;4,33;LMA;LISTE DE LA MAJORITÉ;143452;26,1;42,44;LEC;LISTE ÉCOLOGISTE;7068;1,29;2,09;LDV;"LISTE ""DIVERS""";39827;7,25;11,78;LDR;LISTE DE DROITE;98017;17,84;29;LDF;LISTE DROITE-FRONT NATIONAL;10362;1,89;3,07;LFN;LISTE DU FRONT NATIONAL;24658;4,49;7,3;;;;;;;;;;;;;;;;;;;;;;;;;
41;LORRAINE;1591207;720889;45,3;870318;54,7;51301;3,22;5,89;819017;51,47;94,11;LXG;LISTE D'EXTRÊME-GAUCHE;44902;2,82;5,48;LDG;LISTE DIVERS GAUCHE;20773;1,31;2,54;LMA;LISTE DE LA MAJORITÉ;207171;13,02;25,3;LEC;LISTE ÉCOLOGISTE;62024;3,9;7,57;LDV;"LISTE ""DIVERS""";39246;2,47;4,79;LDR;LISTE DE DROITE;130363;8,19;15,92;LDF;LISTE DROITE-FRONT NATIONAL;180085;11,32;21,99;LFN;LISTE DU FRONT NATIONAL;134453;8,45;16,42;;;;;;;;;;;;;;;;;;;;
73;MIDI-PYRENEES;1835121;654892;35,69;1180229;64,31;56938;3,1;4,82;1123291;61,21;95,18;LXG;LISTE D'EXTRÊME-GAUCHE;60934;3,32;5,42;LDG;LISTE DIVERS GAUCHE;8574;0,47;0,76;LMA;LISTE DE LA MAJORITÉ;420565;22,92;37,44;LEC;LISTE ÉCOLOGISTE;29997;1,63;2,67;LRG;LISTE RÉGIONALISTE;1929;0,11;0,17;LDV;"LISTE ""DIVERS""";53550;2,92;4,77;LDR;LISTE DE DROITE;369228;20,12;32,87;LDF;LISTE DROITE-FRONT NATIONAL;59417;3,24;5,29;LFN;LISTE DU FRONT NATIONAL;119097;6,49;10,6;;;;;;;;;;;;;;;
31;NORD-PAS DE CALAIS;2721145;1093207;40,17;1627938;59,83;77304;2,84;4,75;1550634;56,98;95,25;LXG;LISTE D'EXTRÊME-GAUCHE;86876;3,19;5,6;LPC;LISTE DU PARTI COMMUNISTE;70001;2,57;4,51;LPS;LISTE DU PARTI SOCIALISTE;161130;5,92;10,39;LDG;LISTE DIVERS GAUCHE;7192;0,26;0,46;LMA;LISTE DE LA MAJORITÉ;294612;10,83;19;LEC;LISTE ÉCOLOGISTE;158416;5,82;10,22;LDV;"LISTE ""DIVERS""";83771;3,08;5,4;LDR;LISTE DE DROITE;152996;5,62;9,87;LDF;LISTE DROITE-FRONT NATIONAL;298371;10,96;19,24;LFN;LISTE DU FRONT NATIONAL;237269;8,72;15,3;;;;;;;;;;
25;BASSE NORMANDIE;1012027;425290;42,02;586737;57,98;29538;2,92;5,03;557199;55,06;94,97;LXG;LISTE D'EXTRÊME-GAUCHE;15617;1,54;2,8;LPC;LISTE DU PARTI COMMUNISTE;4323;0,43;0,78;LPS;LISTE DU PARTI SOCIALISTE;23664;2,34;4,25;LMA;LISTE DE LA MAJORITÉ;121770;12,03;21,85;LEC;LISTE ÉCOLOGISTE;49936;4,93;8,96;LDV;"LISTE ""DIVERS""";53439;5,28;9,59;LDR;LISTE DE DROITE;187303;18,51;33,62;LDF;LISTE DROITE-FRONT NATIONAL;39983;3,95;7,18;LFN;LISTE DU FRONT NATIONAL;61164;6,04;10,98;;;;;;;;;;;;;;;
23;HAUTE NORMANDIE;1195200;493793;41,31;701407;58,69;32752;2,74;4,67;668655;55,95;95,33;LXG;LISTE D'EXTRÊME-GAUCHE;42811;3,58;6,4;LDG;LISTE DIVERS GAUCHE;13549;1,13;2,03;LMA;LISTE DE LA MAJORITÉ;218615;18,29;32,69;LEC;LISTE ÉCOLOGISTE;60358;5,05;9,03;LDV;"LISTE ""DIVERS""";13197;1,1;1,97;LDR;LISTE DE DROITE;200577;16,78;30;LDF;LISTE DROITE-FRONT NATIONAL;9858;0,82;1,47;LFN;LISTE DU FRONT NATIONAL;109690;9,18;16,4;;;;;;;;;;;;;;;;;;;;
52;PAYS DE LOIRE;2279975;973467;42,7;1306508;57,3;73676;3,23;5,64;1232832;54,07;94,36;LXG;LISTE D'EXTRÊME-GAUCHE;41578;1,82;3,37;LPS;LISTE DU PARTI SOCIALISTE;39658;1,74;3,22;LDG;LISTE DIVERS GAUCHE;50615;2,22;4,11;LMA;LISTE DE LA MAJORITÉ;299321;13,13;24,28;LEC;LISTE ÉCOLOGISTE;43918;1,93;3,56;LRG;LISTE RÉGIONALISTE;10383;0,46;0,84;LDV;"LISTE ""DIVERS""";64220;2,82;5,21;LDR;LISTE DE DROITE;315440;13,84;25,59;LDF;LISTE DROITE-FRONT NATIONAL;255601;11,21;20,73;LFN;LISTE DU FRONT NATIONAL;108982;4,78;8,84;LXD;LISTE D'EXTRÊME-DROITE;3116;0,14;0,25;;;;;
22;PICARDIE;1257127;475609;37,83;781518;62,17;39692;3,16;5,08;741826;59,01;94,92;LXG;LISTE D'EXTRÊME-GAUCHE;50638;4,03;6,83;LMA;LISTE DE LA MAJORITÉ;226176;17,99;30,49;LEC;LISTE ÉCOLOGISTE;61524;4,89;8,29;LDV;"LISTE ""DIVERS""";49262;3,92;6,64;LDR;LISTE DE DROITE;210574;16,75;28,39;LDF;LISTE DROITE-FRONT NATIONAL;6631;0,53;0,89;LFN;LISTE DU FRONT NATIONAL;137021;10,9;18,47;;;;;;;;;;;;;;;;;;;;;;;;;
54;POITOU-CHARENTES;1203568;508766;42,27;694802;57,73;39646;3,29;5,71;655156;54,43;94,29;LXG;LISTE D'EXTRÊME-GAUCHE;17224;1,43;2,63;LDG;LISTE DIVERS GAUCHE;25862;2,15;3,95;LMA;LISTE DE LA MAJORITÉ;236044;19,61;36,03;LEC;LISTE ÉCOLOGISTE;9283;0,77;1,42;LDV;"LISTE ""DIVERS""";43133;3,58;6,58;LDR;LISTE DE DROITE;231891;19,27;35,39;LDF;LISTE DROITE-FRONT NATIONAL;26991;2,24;4,12;LFN;LISTE DU FRONT NATIONAL;64728;5,38;9,88;;;;;;;;;;;;;;;;;;;;
93;PROVENCE-ALPES-COTE D'AZUR;3096998;1398056;45,14;1698942;54,86;68281;2,2;4,02;1630661;52,65;95,98;LXG;LISTE D'EXTRÊME-GAUCHE;27098;0,87;1,66;LDG;LISTE DIVERS GAUCHE;70701;2,28;4,34;LMA;LISTE DE LA MAJORITÉ;497525;16,06;30,51;LEC;LISTE ÉCOLOGISTE;82585;2,67;5,06;LRG;LISTE RÉGIONALISTE;11434;0,37;0,7;LDV;"LISTE ""DIVERS""";32647;1,05;2;LDR;LISTE DE DROITE;423742;13,68;25,99;LDF;LISTE DROITE-FRONT NATIONAL;50587;1,63;3,1;LFN;LISTE DU FRONT NATIONAL;434342;14,02;26,64;;;;;;;;;;;;;;;
82;RHONE-ALPES;3565533;1640699;46,02;1924834;53,98;85378;2,39;4,44;1839456;51,59;95,56;LXG;LISTE D'EXTRÊME-GAUCHE;77996;2,19;4,24;LDG;LISTE DIVERS GAUCHE;12080;0,34;0,66;LMA;LISTE DE LA MAJORITÉ;581627;16,31;31,62;LEC;LISTE ÉCOLOGISTE;101258;2,84;5,5;LRG;LISTE RÉGIONALISTE;20907;0,59;1,14;LDV;"LISTE ""DIVERS""";39051;1,1;2,12;LDR;LISTE DE DROITE;542689;15,22;29,5;LDF;LISTE DROITE-FRONT NATIONAL;108424;3,04;5,89;LFN;LISTE DU FRONT NATIONAL;348808;9,78;18,96;LXD;LISTE D'EXTRÊME-DROITE;6616;0,19;0,36;;;;;;;;;;
11;ILE DE FRANCE;6034356;2753794;45,64;3280562;54,36;87666;1,45;2,67;3192896;52,91;97,33;LXG;LISTE D'EXTRÊME-GAUCHE;157172;2,6;4,92;LDG;LISTE DIVERS GAUCHE;9637;0,16;0,3;LMA;LISTE DE LA MAJORITÉ;1124862;18,64;35,23;LEC;LISTE ÉCOLOGISTE;165540;2,74;5,18;LDV;"LISTE ""DIVERS""";4030;0,07;0,13;LDR;LISTE DE DROITE;1026211;17,01;32,14;LDF;LISTE DROITE-FRONT NATIONAL;171466;2,84;5,37;LFN;LISTE DU FRONT NATIONAL;520575;8,63;16,3;LXD;LISTE D'EXTRÊME-DROITE;13403;0,22;0,42;;;;;;;;;;;;;;;
24;CENTRE;1683502;698477;41,49;985025;58,51;48865;2,9;4,96;936160;55,61;95,04;LXG;LISTE D'EXTRÊME-GAUCHE;45487;2,7;4,86;LDG;LISTE DIVERS GAUCHE;14083;0,84;1,5;LMA;LISTE DE LA MAJORITÉ;339184;20,15;36,23;LEC;LISTE ÉCOLOGISTE;24236;1,44;2,59;LDV;"LISTE ""DIVERS""";15388;0,91;1,64;LDR;LISTE DE DROITE;301528;17,91;32,21;LDF;LISTE DROITE-FRONT NATIONAL;47581;2,83;5,08;LFN;LISTE DU FRONT NATIONAL;148673;8,83;15,88;;;;;;;;;;;;;;;;;;;;
