Annee;Trimestre;Smic horaire brut;Prix (y compris tabac)1
2023;T4;252.65;178.99
2023;T3;252.65;178.79
2023;T2;250.82;177.87
2023;T1;247.16;176.57
2022;T4;242.78;172.51
2022;T3;241.17;170.83
2022;T2;235.91;168.94
2022;T1;231.81;165.07
2021;T4;229.84;162.64
2021;T3;224.79;161.39
2021;T2;224.79;160.46
2021;T1;224.79;159.24
2020;T4;222.60;158.34
2020;T3;222.60;157.72
2020;T2;222.60;158.08
2020;T1;222.60;157.78
2019;T4;219.97;158.37
2019;T3;219.97;157.64
2019;T2;219.97;157.76
2019;T1;219.97;156.72
2018;T4;216.68;156.09
2018;T3;216.68;156.22
2018;T2;216.68;155.94
2018;T1;216.68;155.00
2017;T4;214.05;153.65
2017;T3;214.05;152.86
2017;T2;214.05;152.85
2017;T1;214.05;152.62
2016;T4;212.07;150.91
2016;T3;212.07;150.45
2016;T2;212.07;150.88
2016;T1;212.07;149.97
2015;T4;210.76;150.00
2015;T3;210.76;149.87
2015;T2;210.76;150.61
2015;T1;210.76;150.20
2014;T4;209.00;149.74
2014;T3;209.00;149.82
2014;T2;209.00;150.22
2014;T1;209.00;150.29
2013;T4;206.81;149.64
2013;T3;206.81;149.39
2013;T2;206.81;149.50
2013;T1;206.81;149.39
2012;T4;206.15;148.60
2012;T3;206.15;148.08
2012;T2;202.20;148.12
2012;T1;202.20;147.95
2011;T4;201.55;146.65
2011;T3;197.38;145.31
2011;T2;197.38;145.31
2011;T1;197.38;144.62
2010;T4;194.31;143.12
2010;T3;194.31;142.12
2010;T2;194.31;142.30
2010;T1;194.31;141.78
2009;T4;193.43;140.63
2009;T3;193.43;139.94
2009;T2;191.02;140.19
2009;T1;191.02;139.58
2008;T4;191.02;139.37
2008;T3;191.02;140.45
2008;T2;189.26;140.88
2008;T1;185.10;139.16
2007;T4;185.10;137.98
2007;T3;185.10;136.38
2007;T2;181.37;136.03
2007;T1;181.37;134.87
2006;T4;181.37;134.50
2006;T3;181.37;134.34
2006;T2;176.11;134.41
2006;T1;176.11;133.28
2005;T4;176.11;132.47
2005;T3;176.11;132.71
2005;T2;166.90;131.89
2005;T1;166.90;131.30
2004;T4;166.90;130.48
2004;T3;166.90;129.89
2004;T2;157.68;129.66
2004;T1;157.68;128.84
2003;T4;157.68;127.78
2003;T3;157.68;127.20
2003;T2;149.79;126.61
2003;T1;149.79;126.73
2002;T4;149.79;125.09
2002;T3;149.79;124.62
2002;T2;146.17;124.15
2002;T1;146.17;123.56
2001;T4;146.17;122.27
2001;T3;146.17;122.39
2001;T2;140.49;122.39
2001;T1;140.49;120.98
2000;T4;140.49;120.63
2000;T3;140.49;120.63
2000;T2;136.14;119.93
2000;T1;136.14;119.46
1999;T4;136.14;118.76
1999;T3;136.14;118.05
1999;T2;134.47;117.94
1999;T1;134.47;117.70
1998;T4;134.47;117.23
1998;T3;134.47;117.23
1998;T2;131.83;117.58
1998;T1;131.83;117.23
1997;T4;131.83;117.00
1997;T3;131.83;116.76
1997;T2;126.75;116.41
1997;T1;126.75;116.30
1996;T4;126.75;115.71
1996;T3;126.75;115.24
1996;T2;126.11;115.36
1996;T1;123.64;115.12
1995;T4;123.64;113.72
1995;T3;123.64;113.48
1995;T2;118.89;112.78
1995;T1;118.89;112.43
1994;T4;118.89;111.49
1994;T3;118.89;111.25
1994;T2;116.45;110.90
1994;T1;116.45;110.43
1993;T4;116.45;109.73
1993;T3;116.45;109.50
1993;T2;113.87;109.03
1993;T1;113.87;108.79
1992;T4;113.87;107.50
1992;T3;113.87;107.15
1992;T2;111.37;106.92
1992;T1;111.37;106.45
1991;T4;109.19;105.39
1991;T3;109.19;104.81
1991;T2;106.79;104.22
1991;T1;106.79;103.40
1990;T4;106.79;102.34
1990;T3;104.58;102.11
1990;T2;102.01;100.70
1990;T1;100.00;100.00
