Annee;Terrorisme, attentats;Chômage, précarité de l'emploi;Pauvreté;Santé;Délinquance;Racisme, discriminations;Environnement;Sécurité routière
2007;4,9;30,1;17,5;14,4;15,1;5,4;10,5;2,2
2008;4,3;26,8;21,5;16,9;13,6;4,5;10,0;2,4
2009;3,2;40,4;19,8;14,7;10,2;3,5;6,7;1,5
2010;2,7;40,7;18,9;12,8;13,4;3,4;5,6;2,4
2011;4,0;36,3;19,0;14,1;16,4;4,0;4,5;1,8
2012;3,2;41,2;19,6;13,7;13,2;3,8;3,4;2,0
2013;4,0;49,4;14,6;10,8;12,8;3,9;3,2;1,2
2014;2,5;46,6;15,1;11,7;13,8;5,1;3,8;1,4
2015;17,9;38,1;12,0;10,5;9,6;6,6;4,0;1,3
2016;30,4;30,9;10,6;9,6;7,3;5,5;4,3;1,4
2017;32,1;23,1;12,7;10,9;8,7;5,4;5,4;1,7
2018;29,3;18,5;15,3;11,9;9,9;6,2;7,2;1,8
2019;19,8;16,0;19,0;12,8;10,0;6,7;13,6;2,0
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
